T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
1260,K,3.81,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,213.0,us,max,OHEX;,,,x10001028.xml
1345,K,3.88,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,191.0,us,max,OHEX;,,,x10001028.xml
1463,K,3.96,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,115.0,us,max,OHEX;,,,x10001028.xml
1478,K,3.68,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,140.0,us,max,OHEX;,,,x10001028.xml
1497,K,3.76,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,115.0,us,max,OHEX;,,,x10001028.xml
1516,K,3.77,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,105.0,us,max,OHEX;,,,x10001028.xml
1614,K,3.84,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,84.0,us,max,OHEX;,,,x10001028.xml
1824,K,4.3,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,55.0,us,max,OHEX;,,,x10001028.xml
943,K,1.09,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,9539.0,us,max,OHEX;,,,x10001029.xml
945,K,1.01,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,10062.0,us,max,OHEX;,,,x10001029.xml
1022,K,1.15,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,5703.0,us,max,OHEX;,,,x10001029.xml
1081,K,1.17,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,3484.0,us,max,OHEX;,,,x10001029.xml
1108,K,1.06,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,3144.0,us,max,OHEX;,,,x10001029.xml
1222,K,1.07,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1593.0,us,max,OHEX;,,,x10001029.xml
