m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,log_idt
0.9203912293925449,2.3532227514678428,1.4760080888080116,2.3967967481747032,2.0041930885419026,1.2507872114160923,1.7761752942117226,0.5053239557147917,1.5730114604102132,-2.3266795169614785
0.6740743981797912,2.5095091805540974,1.071995795675372,2.728337660142744,2.7510582054844845,1.3545865452469428,1.055106550734065,1.641842028294048,0.934833274378551,-2.3160359785392934
2.0647889382735065,0.4491527842741335,2.333362102284892,0.7028470568789011,1.8853438756186198,2.867232335285237,2.784071129160585,1.7120379720705285,2.7645029018059093,-4.119753946865254
1.130546577844735,0.9502059463173569,2.57093378184271,0.8618068462061454,3.141082378696061,1.873060512964185,1.873206847643575,1.815610108670663,0.9161685962052206,-3.8377474318401084
1.3945030944128518,2.0282742536725182,2.4563536818268252,1.3365079218522218,2.668631947313958,2.7438282478397102,2.679865348804959,1.8261816122640542,2.370119458377716,-2.3084242056434716
2.1654598824568985,0.5982734830233898,2.1008058882174008,0.875957904301603,1.4056478474973308,1.193045287252353,0.3821275254021326,0.5451800591236029,1.2647958087510505,-3.536611996167496
2.7500501075161554,1.4338800719924478,0.7646188225961243,0.724520414017149,0.948193121050356,0.6786580014148116,2.3651859807478455,1.0813843403483219,2.7026004417296954,-2.3893671881398837
1.6283792718046635,0.7509921187290841,1.5725497528237116,1.6689077254150149,0.5152481890473409,1.5891372041317982,1.9977013110634139,2.9326065991025114,1.3350792002362248,-2.468435644129702
0.8984216149805466,1.4738622674382458,1.0521119891438624,2.1174869521848456,1.3733906204955282,0.40312686809133114,2.291770115553997,3.139809001587894,1.6470189504197783,-2.315660824021162
1.6426747027114814,1.3729414213154787,0.9592852821684543,2.557348599494732,2.402617254179099,0.36112822725173205,2.1768188695930375,2.1679540377594337,1.6137150306465857,-2.336255964418657
1.8981693724597046,2.749609837557393,2.3558809190050107,2.3691670517074512,1.7632162813327596,0.5188290203533543,0.8815656662517175,0.958451884093718,1.2873272573440957,-2.3029961200706044
0.7466607391062723,0.6966666433557089,1.4272069947619288,0.9769899088520604,2.456591170360335,1.1457464362503649,1.8708296945331155,1.8193061182277892,1.2753397487233047,-3.5905880494254685
0.7351323434974892,0.6510601625703845,1.5280501803627116,2.7729532890780852,1.2344879275122513,3.10598963797188,0.48225845663567024,1.8603015343023948,1.5062296746492956,-4.25814141237857
0.7091754059811983,0.665352900409895,2.009608735235614,1.080252313008952,2.7377472887850387,2.1377878374865085,0.5356296573985664,1.728771663000681,2.157284128691287,-4.1898386404812005
0.9103774679213932,2.8218154081468296,0.7715670372771295,0.7077409971139221,2.950049021598363,2.4278334289341448,2.649558637544689,2.992327713568183,2.893393552613612,-2.3767624595462644
0.9740619354895406,2.555495983909416,1.597739640894128,0.5295125461735148,1.8805272862106432,0.4723591048796474,2.040275526190598,0.5922557824975514,2.7516019943265744,-2.3225896550359746
1.6899435592507208,1.6174625177809103,2.4916671211783123,2.4600346587803945,0.8843722361217501,2.7331625908403376,1.2717433124242528,2.1450285253610035,1.4334152450865951,-2.306311818761903
0.7607203245296055,0.8096078962092393,0.593038595338776,1.6949261600067518,0.5127232508458841,2.5245550862921853,1.1673857585453433,1.029908249005767,1.050292851753236,-2.3130079877382657
2.5261121739257786,2.3820772103354075,1.8496176356919576,1.2949520955178735,1.2644269484461397,1.3700545426439135,2.155304444683514,0.9691989434569752,1.5211995171891353,-2.339649124471092
1.5093123432859934,0.5358825796604395,1.8422680061835994,0.4573228533779888,2.2156453313986093,0.9765302017027881,1.9488958627217419,2.1143404418384706,1.8622306526941261,-3.76744718237684
1.2328596216185077,1.5975262536255805,2.4246569899839265,0.8025671367064875,2.390540725607326,2.454345475372199,2.1057660835762335,0.4996212397603993,0.724736863908308,-2.4427801310394397
1.8809124140637565,1.7287599062090249,2.5560993126277163,3.0461179614276404,1.348444462171496,2.685562707094553,2.05910159258303,1.29019528421269,1.9632845115351516,-2.5183850778838672
1.970112506752233,2.725040853574911,2.8212268440911235,2.3950696664602575,2.9856144403887153,3.1158663109759863,0.8499038359693207,1.2224401280894424,0.7949997370928077,-2.3063897882971327
1.5764262485439144,1.5870857298038386,2.1523320055111825,0.6593478052811501,2.112329072105239,0.9289459645546374,1.7160517845520105,2.663361603427164,1.5541489478422,-2.3040028675340163
0.92447125778677,1.1897952625957744,2.6440119262269963,2.4799355455352345,0.8080910178261372,1.456461190233693,1.8475516561793943,0.721987070520279,2.975173775602413,-3.0311232386004625
1.9319819758191692,2.9360310791271167,0.5218487216769865,1.1601132557477023,2.936081941218818,2.720709787303002,0.4994377369027061,2.948439225959622,2.855318444183172,-2.3110338244311017
1.5296272414865937,1.4199729622803232,0.9057553058257982,1.0714727858418027,1.1976956393470009,0.7044892291467377,1.005694179629868,1.5231606995082276,2.959283614639114,-2.34863435976006
2.675113523784325,0.8232792685327688,0.8622782485646201,0.559564280241982,1.7362752767289793,3.1357228807971764,2.830727372878713,3.1498117949340805,2.921996397516272,-2.3041148907341347
2.29203804162417,2.65164043388967,2.393664868591695,2.068782016837295,2.515173956939172,2.463719868282875,0.4280395821246257,0.5404008439516907,2.845148720380384,-2.30919163146637
1.4598682593532224,1.552526160304668,1.002622117937408,1.455727537435688,1.322845940312907,2.693694812376937,1.5845527911991042,1.2059781900903521,2.710426970848947,-2.374212331580562
1.5964405483045987,1.7620281586096693,1.3890855214318736,2.093449102844651,2.201769812363169,0.5604124374760726,1.8972576654857924,2.214277359949632,1.3099135202743482,-2.3045222178573614
2.5814516969595966,0.7507773534072465,1.372457953373095,1.3263817270664946,2.152860077940919,1.2977563953689089,1.5019042564455973,2.6401598128843258,3.133059925258674,-3.389838740254275
1.2097339690550726,1.8163880337480274,2.431761539014877,0.595744589579436,0.4406171990059153,2.344669744695551,0.5632655534129043,3.070795834103668,2.6385112502101955,-2.312430828081937
