,mu,mu_star,sigma,mu_star_conf
C4H6 + OH <=> C2H5 + CH2CO,6.605350763509271e-09,3.397164032358546e-07,5.82996546737025e-07,2.42027561949723e-07
C4H6 + OH <=> H2O + i-C4H5,-2.291559501392286e-07,2.897146425359218e-07,2.8786420127778126e-07,1.4383598110508863e-07
C4H6 + H <=> H2 + i-C4H5,5.922100704080568e-08,5.548110786894692e-07,7.558593651598317e-07,2.8861245372818453e-07
C4H6 + H <=> C3H4 + CH3,2.0998708861756422e-07,3.5676288793606094e-07,5.304435836365259e-07,2.2310923948953667e-07
C4H6 + O <=> C3H5 + CO + H,1.8953533720202113e-07,5.23630404391628e-07,7.577573111438687e-07,3.677744561267703e-07
C4H6 + O <=> OH + i-C4H5,4.5570288967845425e-08,2.866642292614732e-07,4.0778938391041114e-07,1.4938604994828e-07
C4H6 + O2 <=> HO2 + i-C4H5,-2.923753635538431e-08,3.384754212214243e-07,5.186635299888568e-07,2.129517122380828e-07
C4H6 <=> C2H2 + C2H4,2.3255463807441972e-07,5.981299854467323e-07,8.806093039983702e-07,4.456848308774678e-07
C4H6 <=> C4H4 + H2,1.9925936278913217e-07,3.3498359865411307e-07,5.080636511732709e-07,2.568824142182481e-07
C4H6 <=> H + i-C4H5,-8.958261993180878e-09,2.975696683316254e-07,3.74978500580914e-07,1.3148005087587353e-07
CH3 + H2CCCH (+M) <=> C4H6 (+M),-2.3392147326722824e-07,4.303333802517734e-07,4.448956759987509e-07,1.363152285294357e-07
C2H3 + C2H4 <=> C4H6 + H,-7.067002808443069e-08,3.69120405085707e-07,5.40165101337282e-07,2.3102332046443466e-07
2 C2H3 <=> C4H6,1.850518741656635e-06,1.901972075661524e-06,3.904581210028508e-06,2.334694947190854e-06
C3H5 + nC4H7 <=> C3H6 + C4H6,7.988670868524238e-08,3.043501183075199e-07,4.033886953094372e-07,1.7636142791532232e-07
C2H5 + nC4H7 <=> C2H6 + C4H6,6.419912533759136e-08,3.047997404076194e-07,5.22093997869519e-07,2.09586715706639e-07
C2H3 + nC4H7 <=> C2H4 + C4H6,-1.2386692485553885e-07,5.267440676121715e-07,6.735848988404554e-07,2.0852018660171135e-07
CH3 + nC4H7 <=> C4H6 + CH4,-4.5816259944393215e-08,3.044964574777912e-07,4.5158536695922835e-07,1.9968629167051393e-07
H + nC4H7 <=> C4H6 + H2,-1.6482819404826334e-07,3.27110418000058e-07,4.3576192090947924e-07,1.9460261649929593e-07
O2 + nC4H7 <=> C4H6 + HO2,-1.1190103812893178e-07,2.2196008855478994e-07,3.1461224577015176e-07,1.535752874864897e-07
nC4H7 + M <=> C3H4 + CH3 + M,-2.6421605346546202e-08,2.4073019834517767e-07,3.031753634848498e-07,1.0139784394165373e-07
nC4H7 + M <=> C2H3 + C2H4 + M,-8.670602296892783e-08,5.062924187852925e-07,6.733357292088765e-07,2.7032531333355067e-07
nC4H7 + M <=> C4H6 + H + M,5.730653774292963e-08,2.8310174998708633e-07,3.945975823074731e-07,1.6406903412810037e-07
C2H5 + nC4H7 <=> C2H4 + C4H8,-1.1111666506906906e-07,3.630758444361007e-07,5.607219834798387e-07,2.40519785655428e-07
C4H8 <=> H + nC4H7,1.8112967622263517e-07,3.551497698582929e-07,5.474792078117742e-07,2.5144891829364185e-07
C4H8 <=> C3H5 + CH3,-2.800105609345691e-07,3.386345114996908e-07,3.974384951168746e-07,2.0146459016092856e-07
C2H3 + C2H5 => C4H8,-7.495818720709076e-08,2.5926991959063035e-07,2.943313497268386e-07,8.572344697528652e-08
C3H5 + C4H8 <=> C3H6 + nC4H7,-7.302408035698636e-08,3.0869503125193426e-07,4.1514412774690395e-07,1.6360963962866664e-07
C4H8 + H <=> H2 + nC4H7,-1.582035520600146e-08,4.0499758354477507e-07,5.161618579739737e-07,1.5277634835587503e-07
C4H8 + HO2 <=> H2O2 + nC4H7,5.044554733542103e-08,2.3893733819861713e-07,3.138922917164577e-07,1.2424318118427634e-07
C2H5 + C4H8 <=> C2H6 + nC4H7,-3.562554647753084e-08,2.649842026416045e-07,3.24982321740292e-07,9.700004850086035e-08
C4H8 + CH3 <=> CH4 + nC4H7,-1.6434607214462786e-07,2.9788511928330494e-07,6.128172746886718e-07,3.1443760771959425e-07
C4H8 + OH <=> H2O + nC4H7,-2.5179667757849257e-07,3.2710672091706387e-07,3.849015353606807e-07,1.8503399677648122e-07
C4H8 + O <=> OH + nC4H7,-1.0747939012775804e-07,3.012950219563086e-07,3.7832295502446135e-07,1.3133823393200907e-07
C4H8 + OH <=> CH2O + nC3H7,-8.078061841975303e-08,2.4272169724927074e-07,2.610406617081264e-07,5.361439620868208e-08
C4H8 + OH <=> C2H5 + CH3CHO,3.6042035040082056e-08,4.693152909464081e-07,5.531386105108061e-07,1.449198282128379e-07
C4H8 + O <=> C2H4 + CH3CHO,-1.1503792697182374e-07,2.581862658519816e-07,3.865389429784569e-07,1.8973256027125152e-07
C4H8 + O => C2H5 + CH3 + CO,8.39589481700015e-08,2.369801119565736e-07,2.9645762340904e-07,1.0664673728007917e-07
C4H8 + O <=> C3H6 + CH2O,-1.6527256056113918e-07,3.8552257173808935e-07,4.5437553744931687e-07,1.6069713090935077e-07
C4H8 + OH => C2H6 + CH3 + CO,2.5719810107506014e-07,4.635174763996471e-07,7.020116322520674e-07,3.2345282344022713e-07
C4H8 + O <=> HCO + nC3H7,-2.962098649340537e-09,2.973877896597813e-07,3.712812876574599e-07,1.1341378367182347e-07
C2H3 + H2CCCH <=> C5H5 + H,-1.7953086309529092e-07,3.9803833466730857e-07,6.480879963587741e-07,3.2772893307435264e-07
C5H5 <=> C2H2 + H2CCCH,2.0453586451937347e-08,2.192938524316733e-07,3.126312268908648e-07,1.2495001315273196e-07
C5H5 + O2 <=> C2H2 + CH2CO + HCO,2.985331690519797e-07,4.4134415544735674e-07,5.114757993177005e-07,2.062084850786317e-07
C5H6 + O2 <=> C5H5 + HO2,-3.591079273473412e-08,3.8357957577013743e-07,5.015357123377998e-07,1.827962330605422e-07
C5H5 + O <=> CO + i-C4H5,2.682008719135425e-08,4.5470586953461593e-07,5.839239253094076e-07,1.7792212102700374e-07
C5H6 + H <=> C5H5 + H2,-2.021829505445528e-07,5.611901391758231e-07,8.998428918942894e-07,3.762587809886495e-07
C5H6 + H <=> C2H2 + C3H5,1.1475163178870495e-07,3.0428537012873685e-07,4.1044608512903675e-07,1.748493760582935e-07
C5H5 + H <=> C5H6,7.487887907244424e-09,4.710170704137919e-07,6.431972402269927e-07,2.45707635551633e-07
C5H5 + OH <=> 2 C2H2 + CH2O,-2.146180457911187e-07,2.665208591563658e-07,3.7639510102153764e-07,1.8522563164773965e-07
C5H6 + OH <=> C5H5 + H2O,-3.865585957042101e-09,2.395537318350007e-07,2.79212126666684e-07,6.961908753423062e-08
C5H6 + HO2 <=> C5H5 + H2O2,-3.964827095548373e-08,3.6492206703989276e-07,5.346974120078081e-07,1.973710672793668e-07
