,mu,mu_star,sigma,mu_star_conf
2 iC3H7 <=> C3H6 + C3H8,1.920969702529478e-07,2.7397259889310695e-07,3.343649314831115e-07,2.1100294051164855e-07
C3H8 + iC3H7 <=> C3H8 + nC3H7,-1.2161410136928523e-07,1.8902492456093375e-07,2.7887084671976943e-07,1.823033878453768e-07
C3H5 + C3H8 <=> C3H6 + iC3H7,3.2112666120039654e-07,3.854643296531354e-07,4.186625432042809e-07,2.6447658029873717e-07
C3H5 + C3H8 <=> C3H6 + nC3H7,1.508593821810097e-07,4.4297621471756464e-07,5.26620402288912e-07,1.8594137173352387e-07
C3H8 + O2 <=> HO2 + iC3H7,-2.789734343576178e-07,2.789734343576178e-07,2.3111421203210476e-07,1.678463524492201e-07
C3H8 + O2 <=> HO2 + nC3H7,-7.236694526388315e-08,1.7749325373623805e-07,2.405104329415673e-07,1.2085364511429321e-07
C3H8 + CH3 <=> CH4 + iC3H7,4.376408447957504e-08,4.639736461381185e-07,6.623691220987345e-07,3.35203094942071e-07
C3H8 + CH3 <=> CH4 + nC3H7,1.0598042949042417e-07,2.2554962163918541e-07,2.5779423477763907e-07,1.0605840494598014e-07
C3H8 + HO2 <=> H2O2 + iC3H7,-1.0786850972045788e-07,3.9242022839085414e-07,5.075970801990691e-07,2.0878398392026632e-07
C3H8 + HO2 <=> H2O2 + nC3H7,-1.8085767525302158e-07,3.680619083980083e-07,5.832447079480732e-07,3.4197120451851197e-07
C3H8 + OH <=> H2O + iC3H7,1.9777060619638443e-07,4.384051718495389e-07,5.099311283534884e-07,2.295963909664116e-07
C3H8 + OH <=> H2O + nC3H7,-2.392702122032349e-08,3.136933087901546e-07,3.609197506419934e-07,6.378014597543074e-08
C3H8 + O <=> OH + iC3H7,8.748601281641127e-08,2.1342676705395658e-07,2.494160534150112e-07,9.751694456512273e-08
C3H8 + O <=> OH + nC3H7,-1.6786393321264648e-07,4.451549488102177e-07,4.932046129350641e-07,1.2976423103485486e-07
C3H8 + H <=> H2 + iC3H7,7.399306617519828e-08,1.7033382096047861e-07,2.1468641439552335e-07,9.459444570869666e-08
C3H8 + H <=> H2 + nC3H7,2.997451457495721e-07,3.9182159787786563e-07,4.89703894642772e-07,3.608106728079473e-07
C3H8 <=> H + nC3H7,3.32064064942678e-08,1.8427378908407287e-07,2.974540368625292e-07,1.7853618370696597e-07
C3H8 (+M) <=> C2H5 + CH3 (+M),4.4587515587060134e-07,4.960650783700447e-07,4.903555055240454e-07,3.1272523182024583e-07
C2H5O2 + C3H8 <=> C2H5O2H + iC3H7,1.312170788962227e-07,2.3144381447463873e-07,2.1786320053751976e-07,4.104032908772975e-08
C2H5O2 + C3H8 <=> C2H5O2H + nC3H7,-2.8350543983038504e-07,4.603470008654646e-07,4.5647230991662334e-07,1.5430362617591198e-07
C4H2 + OH <=> C3H2 + HCO,-3.0311633288795744e-08,3.644005821923531e-07,4.832393524166308e-07,1.9804802287959258e-07
